date,float,Close/Last,Open,High,Low
11/10/2020,-68.5799999999999,11553.86,11622.44,11665.87,11424.61
11/09/2020,-332.879999999999,11713.78,12046.66,12108.07,11703.49
11/06/2020,25.3299999999999,11895.23,11869.9,11920.54,11737.13
11/05/2020,74.6000000000004,11890.93,11816.33,11924.28,11784.15
11/04/2020,147.01,11590.78,11443.77,11663.31,11394.21
11/03/2020,121.91,11160.57,11038.66,11213.92,11004.84
11/02/2020,-52.8400000000002,10957.61,11010.45,11071.08,10830.95
10/30/2020,-191.879999999999,10911.59,11103.47,11129.81,10822.57
10/29/2020,121.120000000001,11185.59,11064.47,11287.63,11030.19
10/28/2020,-226.029999999999,11004.87,11230.9,11249.95,10999.07
10/27/2020,22.0100000000002,11431.35,11409.34,11465.06,11361.86
10/26/2020,-81.6999999999989,11358.94,11440.64,11545.63,11221.06
10/23/2020,12.2800000000007,11548.28,11536,11548.85,11434.86
10/22/2020,-20.9599999999991,11506.01,11526.97,11548.77,11369.29
10/21/2020,-45.6999999999989,11484.69,11530.39,11613.79,11476.08
10/20/2020,-93.0699999999997,11516.49,11609.56,11632.89,11471.23
10/19/2020,-253.460000000001,11478.88,11732.34,11778.11,11454.57
10/16/2020,-90.2700000000004,11671.56,11761.83,11827.42,11648.53
10/15/2020,153.990000000002,11713.87,11559.88,11740.68,11559.1
10/14/2020,-120.34,11768.73,11889.07,11939.92,11714.35
10/13/2020,-37.8600000000006,11863.9,11901.76,11946.98,11821.83
10/12/2020,143.940000000001,11876.26,11732.32,11965.54,11704.13
10/09/2020,92.3400000000001,11579.94,11487.6,11581.23,11476.66
10/08/2020,-22.3700000000008,11420.98,11443.35,11448.23,11384.33
10/07/2020,92.9200000000001,11364.6,11271.68,11380.56,11258.35
10/06/2020,-159.93,11154.6,11314.53,11392.41,11124.45
10/05/2020,163.379999999999,11332.49,11169.11,11335.21,11162.52
10/02/2020,-7.51000000000022,11075.02,11082.53,11244.87,11033.69
10/01/2020,34.5200000000004,11326.51,11291.99,11344.13,11240.53
09/30/2020,74.6100000000006,11167.51,11092.9,11277.96,11092.9
09/29/2020,-23.75,11085.25,11109,11153.23,11065.63
09/28/2020,33.1400000000012,11117.52,11084.38,11120.79,11019.14
09/25/2020,233.1,10913.56,10680.46,10939.55,10639.98
09/24/2020,121.25,10672.27,10551.02,10799.55,10520.22
09/23/2020,-317.83,10632.99,10950.82,10962.03,10612.91
09/22/2020,90.3400000000002,10963.64,10873.3,10979.65,10737.52
09/21/2020,242.719999999999,10778.8,10536.08,10782.74,10519.49
09/18/2020,-180.17,10793.28,10973.45,10977.68,10639.95
09/17/2020,114.230000000001,10910.28,10796.05,10974.45,10783.81
09/16/2020,-171.610000000001,11050.47,11222.08,11245.42,11046.43
09/15/2020,-10.9300000000003,11190.32,11201.25,11244.46,11127.98
09/14/2020,46.5100000000002,11056.65,11010.14,11118.29,10982.26
09/11/2020,-156.52,10853.55,11010.07,11033.04,10728.03
09/10/2020,-315.94,10919.59,11235.53,11299.53,10875.02
09/09/2020,76.7999999999993,11141.56,11064.76,11217.69,10970.45
09/08/2020,-53,10847.69,10900.69,11131.5,10837.2
09/04/2020,-83.1100000000006,11313.13,11396.24,11531.18,10875.87
09/03/2020,-403.799999999999,11458.1,11861.9,11894.4,11361.36
09/02/2020,9.18000000000029,12056.44,12047.26,12074.06,11836.18
09/01/2020,88.7100000000009,11939.67,11850.96,11945.72,11794.78
08/31/2020,56.6499999999996,11775.46,11718.81,11829.84,11697.41
08/28/2020,6.34999999999855,11695.63,11689.28,11708.77,11634.77
08/27/2020,-62.8500000000004,11625.34,11688.19,11730.01,11551.01
08/26/2020,148.439999999999,11665.06,11516.62,11672.05,11507.46
08/25/2020,96.2399999999998,11466.47,11370.23,11468.26,11343.04
08/24/2020,-69.5300000000007,11379.72,11449.25,11462.05,11297.53
08/21/2020,53.3599999999988,11311.8,11258.44,11326.21,11245.44
08/20/2020,168.550000000001,11264.95,11096.4,11283.62,11090.03
08/19/2020,-68.3400000000002,11146.46,11214.8,11257.42,11132.1
08/18/2020,40.0900000000001,11210.84,11170.75,11230.61,11103.83
08/17/2020,46.4899999999998,11129.73,11083.24,11144.53,11080.3
08/14/2020,-22.9400000000005,11019.3,11042.24,11058.44,10972.06
08/13/2020,15.6399999999994,11042.5,11026.86,11124.85,11007.5
08/12/2020,134.119999999999,11012.24,10878.12,11036.72,10877.16
08/11/2020,-159.84,10782.82,10942.66,10989.42,10762.71
08/10/2020,-65.3599999999988,10968.36,11033.72,11040.24,10849.46
08/07/2020,-61.5500000000011,11010.98,11072.53,11126.04,10920.37
08/06/2020,118.09,11108.07,10989.98,11121.19,10963.41
08/05/2020,30.5299999999988,10998.4,10967.87,11002.11,10943.72
08/04/2020,24.2700000000004,10941.17,10916.9,10941.91,10852.9
08/03/2020,54.1599999999999,10902.8,10848.64,10927.56,10831.15
07/31/2020,3.80000000000109,10745.27,10741.47,10747.8,10557.7
07/30/2020,137.689999999999,10587.81,10450.12,10609.59,10412.09
07/29/2020,68.2399999999998,10542.94,10474.7,10567.91,10464
07/28/2020,-107.110000000001,10402.09,10509.2,10523.64,10397.87
07/27/2020,114.57,10536.27,10421.7,10546.44,10399.86
07/24/2020,68.7700000000004,10363.18,10294.41,10418.75,10217.31
07/23/2020,-228.08,10461.42,10689.5,10728.12,10407.87
